instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,open_interest
BTC-6DEC25-80000-C,call,6DEC25,80000.0,0.00352,92529.80714285714,0.13545041,12533.200314720927,87.33,,,0.0
BTC-6DEC25-80000-P,put,6DEC25,80000.0,0.00352,92529.80714285714,3.555e-05,3.289434643928571,87.33,,0.0001,133.5
BTC-6DEC25-82000-C,call,6DEC25,82000.0,0.00352,92529.80714285714,0.11395031,10543.800208168786,86.48,,,0.0
BTC-6DEC25-82000-P,put,6DEC25,82000.0,0.00352,92529.80714285714,0.00015008,13.886873456,86.48,0.0001,0.0003,40.4
BTC-6DEC25-83000-C,call,6DEC25,83000.0,0.00352,92529.80714285714,0.10316244,9545.600677586572,80.03,0.0001,,0.0
BTC-6DEC25-83000-P,put,6DEC25,83000.0,0.00352,92529.80714285714,0.00016952,15.685652906857142,80.03,0.0001,0.0002,71.8
BTC-6DEC25-84000-C,call,6DEC25,84000.0,0.00352,92529.80714285714,0.09238468,8548.336623354571,73.84,0.0001,,0.0
BTC-6DEC25-84000-P,put,6DEC25,84000.0,0.00352,92529.80714285714,0.00019908,18.420834006,73.84,0.0001,0.0004,72.6
BTC-6DEC25-85000-C,call,6DEC25,85000.0,0.00352,92529.80714285714,0.08164672,7554.7552554468575,68.85,0.0001,,0.0
BTC-6DEC25-85000-P,put,6DEC25,85000.0,0.00352,92529.80714285714,0.00026843,24.837776131357142,68.85,0.0002,0.0004,65.7
BTC-6DEC25-86000-C,call,6DEC25,86000.0,0.00352,92529.80714285714,0.07091479,6561.731842276215,63.07,0.0001,,0.3
BTC-6DEC25-86000-P,put,6DEC25,86000.0,0.00352,92529.80714285714,0.00034382,31.813598291857144,63.07,0.0002,0.0004,122.4
BTC-6DEC25-87000-C,call,6DEC25,87000.0,0.00352,92529.80714285714,0.06026805,5576.591043376071,58.38,0.0595,0.0615,11.7
BTC-6DEC25-87000-P,put,6DEC25,87000.0,0.00352,92529.80714285714,0.00050439,46.67110942478571,58.38,0.0004,0.0007,49.4
BTC-6DEC25-88000-C,call,6DEC25,88000.0,0.00352,92529.80714285714,0.04976505,4604.750478954643,54.36,0.049,0.051,7.2
BTC-6DEC25-88000-P,put,6DEC25,88000.0,0.00352,92529.80714285714,0.0008087,74.82885503642856,54.36,0.0007,0.001,81.3
BTC-6DEC25-89000-C,call,6DEC25,89000.0,0.00352,92529.80714285714,0.03954506,3659.0967752527145,51.04,0.0385,0.0405,13.7
BTC-6DEC25-89000-P,put,6DEC25,89000.0,0.00352,92529.80714285714,0.00139603,129.17438666564286,51.04,0.0013,0.0016,82.8
BTC-6DEC25-90000-C,call,6DEC25,90000.0,0.00352,92529.80714285714,0.02981315,2758.6050198210714,48.09,0.029,0.031,15.5
BTC-6DEC25-90000-P,put,6DEC25,90000.0,0.00352,92529.80714285714,0.00247144,228.68186656514285,48.09,0.0025,0.0027,84.6
BTC-6DEC25-91000-C,call,6DEC25,91000.0,0.00352,92529.80714285714,0.02090141,1934.0034363137856,45.41,0.02,0.0215,31.9
BTC-6DEC25-91000-P,put,6DEC25,91000.0,0.00352,92529.80714285714,0.00436701,404.07859309092856,45.41,0.0042,0.0046,133.5
BTC-6DEC25-92000-C,call,6DEC25,92000.0,0.00352,92529.80714285714,0.0133189,1232.395248355,43.23,0.013,0.014,236.9
BTC-6DEC25-92000-P,put,6DEC25,92000.0,0.00352,92529.80714285714,0.00759181,702.4687151652142,43.23,0.007,0.008,51.6
BTC-6DEC25-93000-C,call,6DEC25,93000.0,0.00352,92529.80714285714,0.00745829,690.1141353155,41.27,0.007,0.008,38.1
BTC-6DEC25-93000-P,put,6DEC25,93000.0,0.00352,92529.80714285714,0.01253852,1160.1868374568571,41.27,0.012,0.013,77.1
BTC-6DEC25-94000-C,call,6DEC25,94000.0,0.00352,92529.80714285714,0.00376259,348.15172705764286,40.71,0.0035,0.0039,62.0
BTC-6DEC25-94000-P,put,6DEC25,94000.0,0.00352,92529.80714285714,0.01965013,1818.2227392320713,40.71,0.0185,0.0205,59.1
BTC-6DEC25-95000-C,call,6DEC25,95000.0,0.00352,92529.80714285714,0.00170268,157.548652026,40.67,0.0015,0.0019,42.1
BTC-6DEC25-95000-P,put,6DEC25,95000.0,0.00352,92529.80714285714,0.02839753,2627.6179742335003,40.67,0.027,0.0295,1.0
BTC-6DEC25-96000-C,call,6DEC25,96000.0,0.00352,92529.80714285714,0.00073544,68.05012136514286,41.42,0.0006,0.0009,166.8
BTC-6DEC25-96000-P,put,6DEC25,96000.0,0.00352,92529.80714285714,0.03823761,3538.1186789037856,41.42,0.0001,,0.0
BTC-6DEC25-97000-C,call,6DEC25,97000.0,0.00352,92529.80714285714,0.00031292,28.954427251142857,42.64,0.0002,0.0004,117.2
BTC-6DEC25-97000-P,put,6DEC25,97000.0,0.00352,92529.80714285714,0.0486224,4499.021294822857,42.64,0.0475,0.05,2.2
